dataset,method,round,ratio,k,d,train_loss,test_accuracy,test_loss,retained_energy,b_power,b_privacy,b_star,regime,papr_mean_db,papr_p99_db,papr_max_db,clip_sample_ratio,normalized_clip_energy,u_active_mean,active_resource_ratio
femnist,topk,48,0.2,80844,404222,1.1481037949398158,68.62745098039215,1.148072037042356,0.7836697339241288,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.629110336303711,11.105904579162598,11.932988166809082,0.0019415024435147643,0.0001336438635978701,4.730250358581543,0.8419137931034483
femnist,topk,49,0.2,80844,404222,1.0475242206454276,67.8921568627451,1.1254320331648284,0.7667198984175845,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.559967041015625,10.89403247833252,12.142271995544434,0.0018830049084499478,0.00012504992852094095,4.601553440093994,0.8654605911330049
femnist,topk,50,0.2,80844,404222,1.429117319919169,66.66666666666667,1.191700954063266,0.7934558225606227,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.62440013885498,11.313532829284668,11.75680923461914,0.0019156404305249453,0.00013288647318418135,4.793155670166016,0.8308645320197044
femnist,topk,51,0.2,80844,404222,1.0535732544213532,65.44117647058823,1.1379475313074447,0.7813807251321562,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.573050498962402,11.073603630065918,11.494771003723145,0.0019833743572235107,0.00012903714887924352,4.705211162567139,0.8463940886699507
femnist,topk,52,0.2,80844,404222,1.0447815210092812,69.8529411764706,1.0831720688763786,0.7725951434448314,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.578155517578125,11.035658836364746,11.533548355102539,0.0019002462504431605,0.00012472025481898076,4.656617164611816,0.8552266009852216
femnist,topk,53,0.2,80844,404222,1.2004419992305337,70.09803921568627,1.0873923208199294,0.7929634663023835,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.563363075256348,11.035229682922363,11.23625373840332,0.0019716748502105474,0.00012379992193500654,4.804307460784912,0.8289359605911331
femnist,topk,54,0.2,80844,404222,1.1435495269298555,69.8529411764706,1.0871334449917662,0.7917483074345694,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.588526725769043,11.19437313079834,12.169480323791504,0.001878078794106841,0.0001237470147144588,4.777336597442627,0.833615763546798
femnist,topk,55,0.2,80844,404222,1.0955501908995213,70.83333333333333,1.060618381874234,0.7740382324555706,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.549997329711914,11.103572845458984,11.548664093017578,0.001835591159760952,0.00012366861745532508,4.696041584014893,0.8480467980295566
femnist,topk,56,0.2,80844,404222,1.1124097852036356,70.09803921568627,1.0560165854061352,0.7814536506058899,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.592857360839844,10.943460464477539,11.12948989868164,0.0019396551651880145,0.00012519646490564114,4.7106122970581055,0.8454236453201971
femnist,topk,57,0.2,80844,404222,1.0759966116119175,70.34313725490196,1.0590393963982077,0.7874662746258135,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.529192924499512,11.606989860534668,12.028816223144531,0.001926724100485444,0.00012050000128216711,4.741124629974365,0.8399827586206896
femnist,topk,58,0.2,80844,404222,1.0105677999835463,68.87254901960785,1.0286865234375,0.7676731519704445,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.598489761352539,11.47064208984375,12.044862747192383,0.0019094827584922314,0.00012816737275841053,4.602181911468506,0.8653423645320197
femnist,topk,59,0.2,80844,404222,1.0936769820377232,73.03921568627452,1.027337541767195,0.7859698909073026,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.617535591125488,11.215377807617188,12.005578994750977,0.0019248768221586943,0.00013157147835236567,4.730042934417725,0.8419507389162562
femnist,topk,60,0.2,80844,404222,1.0220152883417903,71.81372549019608,1.0100247252221202,0.7852677425887147,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.631723403930664,11.117290496826172,11.434316635131836,0.0019581280648708344,0.0001321916647962084,4.716465950012207,0.8443743842364532
femnist,topk,61,0.2,80844,404222,0.9193815670907497,71.32352941176471,0.9969842948165595,0.7673172011833441,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.553642272949219,11.157158851623535,12.052267074584961,0.0019581280648708344,0.00012606444660331822,4.599275588989258,0.8658891625615763
femnist,topk,62,0.2,80844,404222,1.003175846869126,72.30392156862744,0.9788107778511795,0.7899438254543896,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.57185173034668,10.894552230834961,10.99649429321289,0.0019150245934724808,0.00011976345027612379,4.778607368469238,0.8333940886699508
femnist,topk,63,0.2,80844,404222,1.0270379972737282,71.07843137254902,0.980529037176394,0.7923720047716134,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.575210571289062,10.861230850219727,11.475639343261719,0.0019513546722009778,0.00012534262890527272,4.770303249359131,0.8348448275862069
femnist,topk,64,0.2,80844,404222,0.898720304891467,70.34313725490196,0.9555086622051164,0.772258863392752,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.612950325012207,10.984214782714844,11.157508850097656,0.0019427340012043715,0.00012914205495605325,4.667263031005859,0.8532758620689656
femnist,topk,65,0.2,80844,404222,0.99730197859928,71.81372549019608,0.9573926738664216,0.7846642067320557,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.583571434020996,11.019241333007812,11.241413116455078,0.0019334974931553006,0.00012588046677329884,4.724832057952881,0.8428793103448275
femnist,topk,66,0.2,80844,404222,0.8564127435069532,72.30392156862744,0.9503351847330729,0.7865733128407879,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.543144226074219,11.10405158996582,11.280508995056152,0.0018528325017541647,0.00012311224793647675,4.710845470428467,0.8453817733990148
