dataset,method,round,ratio,k,d,train_loss,lr,test_accuracy,test_loss,retained_energy,b_power,b_privacy,b_star,regime,papr_mean_db,papr_p99_db,papr_max_db,clip_sample_ratio,normalized_clip_energy,effective_noise_std,u_active_mean,active_resource_ratio
femnist,randk,25,0.5,202111,404222,2.3824780112504955,0.04123349389473974,49.51923076923077,2.102467757004958,0.5034975134922839,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.554810523986816,10.771998405456543,11.311568260192871,0.23691748082637787,0.04616292918540333,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,26,0.5,202111,404222,2.63009502440691,0.04090362594358182,49.51923076923077,2.102467757004958,0.49789973582826913,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.515438079833984,10.93954849243164,11.334222793579102,0.23698706924915314,0.04627055757385338,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,27,0.5,202111,404222,2.4111630308628085,0.04057639693603317,49.51923076923077,2.102467757004958,0.5022063717788312,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.6264009475708,11.080988883972168,12.012572288513184,0.23695074021816254,0.04612117204445668,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,28,0.5,202111,404222,2.287994741797447,0.0402517857605449,49.51923076923077,2.102467757004958,0.5076922013835048,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.585623741149902,10.837539672851562,11.443768501281738,0.23694643378257751,0.04610974481422038,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,29,0.5,202111,404222,2.3827168598771093,0.03992977147446054,49.51923076923077,2.102467757004958,0.4971730142813649,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.652674674987793,11.457303047180176,11.90201187133789,0.23681218922138214,0.04629627338434902,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,30,0.5,202111,404222,2.0745342612266535,0.039610333302664856,56.00961538461539,1.8542198768028846,0.5046361247060298,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.577658653259277,10.960911750793457,11.155563354492188,0.23692919313907623,0.0460859926428319,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,31,0.5,202111,404222,2.0893650507926944,0.03929345063624354,56.00961538461539,1.8542198768028846,0.4998062964594083,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.63659954071045,11.062396049499512,11.362419128417969,0.23681218922138214,0.046060761466212845,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,32,0.5,202111,404222,2.0567666220664975,0.038979103031153595,56.00961538461539,1.8542198768028846,0.5004339359032426,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.495503425598145,10.867595672607422,11.189620971679688,0.2366662621498108,0.04607943626521025,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,33,0.5,202111,404222,2.0327289339900014,0.03866727020690436,56.00961538461539,1.8542198768028846,0.5002041120998421,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.549583435058594,11.168242454528809,11.655160903930664,0.23700061440467834,0.04583599278710326,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,34,0.5,202111,404222,1.8573485043644904,0.03835793204524912,56.00961538461539,1.8542198768028846,0.498477802194253,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.576373100280762,11.432209014892578,11.985836029052734,0.2367309182882309,0.046183873104043704,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,35,0.5,202111,404222,1.9849121944606303,0.03805106858888713,59.375,1.6565067584698017,0.5033498671656818,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.610673904418945,11.572933197021484,12.202869415283203,0.23711945116519928,0.04613297386188495,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,36,0.5,202111,404222,1.9024676716327669,0.03774666004017604,59.375,1.6565067584698017,0.5046134440788197,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.646849632263184,11.367112159729004,12.185564994812012,0.23672844469547272,0.04608064646569964,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,37,0.5,202111,404222,1.7860962270945309,0.03744468675985462,59.375,1.6565067584698017,0.49653025872065104,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.619056701660156,10.998361587524414,11.681748390197754,0.23685036599636078,0.04612758926006633,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,38,0.5,202111,404222,1.8404967762343585,0.03714512926577578,59.375,1.6565067584698017,0.4980015733687343,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.581767082214355,11.013235092163086,11.452218055725098,0.23678264021873474,0.04622389293915094,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,39,0.5,202111,404222,1.7438608044385906,0.03684796823164958,59.375,1.6565067584698017,0.4897375322387343,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.55461311340332,11.432695388793945,11.526920318603516,0.23710837960243225,0.04608849529991782,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,40,0.5,202111,404222,1.5822198615595697,0.036553184485796385,62.98076923076923,1.507004664494441,0.4998769209805192,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.578993797302246,11.31930160522461,11.986780166625977,0.23734913766384125,0.0457671117825675,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,41,0.5,202111,404222,1.6979705989733336,0.036260759009910014,62.98076923076923,1.507004664494441,0.49946894545368503,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.551063537597656,11.047140121459961,11.971351623535156,0.23725184798240662,0.04608289183161991,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,42,0.5,202111,404222,1.6223338674753904,0.03597067293783073,62.98076923076923,1.507004664494441,0.5021189536553997,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.553990364074707,11.133514404296875,11.522664070129395,0.23727954924106598,0.046013919763117146,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,43,0.5,202111,404222,1.4868179232440888,0.03568290755432809,62.98076923076923,1.507004664494441,0.4998069604154464,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.56118106842041,11.38106632232666,11.666952133178711,0.23728571832180023,0.0460060991016311,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,44,0.5,202111,404222,1.61887143291533,0.03539744429389346,62.98076923076923,1.507004664494441,0.4993109232169271,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.60728931427002,11.523100852966309,12.577402114868164,0.23697106540203094,0.04626492502335958,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,45,0.5,202111,404222,1.535503050535917,0.035114264739542315,64.42307692307692,1.377141805795523,0.5028851814437448,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.563712120056152,11.140340805053711,11.415117263793945,0.2376188486814499,0.04606513621332301,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,46,0.5,202111,404222,1.465020488202572,0.03483335062162598,64.42307692307692,1.377141805795523,0.5017328081038486,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.59737491607666,11.14366340637207,11.293895721435547,0.2371317744255066,0.04609342762394539,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,47,0.5,202111,404222,1.4885029092431068,0.03455468381665296,64.42307692307692,1.377141805795523,0.5005364780782539,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.592427253723145,11.323538780212402,11.535178184509277,0.2370603382587433,0.04627221099835747,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,48,0.5,202111,404222,1.4935918741580099,0.03427824634611974,64.42307692307692,1.377141805795523,0.5029918483950968,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.59140682220459,10.975284576416016,11.242815017700195,0.2371145337820053,0.046111251573151525,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,49,0.5,202111,404222,1.3953019823133945,0.03400402037535079,64.42307692307692,1.377141805795523,0.49926573877356073,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.674434661865234,11.42789077758789,11.59356689453125,0.23685960471630096,0.046286919356089765,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,50,0.5,202111,404222,1.4683208771422505,0.03373198821234798,64.66346153846153,1.27613038283128,0.502934795711331,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.625842094421387,11.615192413330078,12.154885292053223,0.236441507935524,0.04631044645724027,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,51,0.5,202111,404222,1.3812781503330918,0.0334621323066492,64.66346153846153,1.27613038283128,0.4976350640244977,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.57404899597168,11.161779403686523,11.332236289978027,0.23700185120105743,0.045974983217034485,0.010662431125213383,20.0,0.4978103448275862
