dataset,method,ratio,k,d,bar_omega,learning_cost,rho,omega_support,active_resource_ratio,u_active_mean,u_active_p99,papr_mean_db,papr_p99_db,papr_max_db,adc_cost,clip_sample_ratio,channel_cost,b_power,b_privacy,b_star,regime,learning_cost_norm,channel_cost_norm,adc_cost_norm,J_adc_aware,J_adc_unaware
femnist,topk,0.8,323377,404222,0.9999999161501071,0.00020006001000137812,0.9289096903841907,120614991.0,0.9659839901477832,16.491251707077026,20.0,16.7226083278656,19.130179166793823,19.53898859024048,0.026903746390019728,0.10072467662394047,202041.69743747296,3.5170248087615343,1.243423365098899,1.243423365098899,privacy,0.0,0.6209433639178454,0.905785722534654,0.5460343658550038,0.09314150458767681
femnist,topk,1.0,404222,404222,1.0,0.00020006001000137812,1.0,161688800.0,0.9956206896551724,20.0,20.0,16.242470264434814,18.720534324645996,19.139988660812378,0.025336539444254617,0.1013014167547226,325376.83507016295,3.1457197020640706,1.1121506359165472,1.1121506359165472,privacy,0.0,1.0,0.8109213321438309,0.5554606660719155,0.15
femnist,randk,0.01,4042,404222,0.010692095834994194,34430.06140922506,1.0,1616800.0,0.009955665024630541,20.0,20.0,9.133147239685059,10.654807567596436,11.149300813674927,0.011292381139805874,0.10125715844333172,0.32532371153320955,31.458053093027868,11.121809018505765,11.121809018505765,privacy,1.0,0.0,0.0,1.0,1.0
femnist,randk,0.02,8084,404222,0.020118469905274737,9586.341060262615,1.0,3233600.0,0.019911330049261083,20.0,20.0,9.24385118484497,10.861268877983093,11.321712732315063,0.012650858459067098,0.10304202605038881,2.6025896922656764,22.24420266500645,7.864306576047127,7.864306576047127,privacy,0.877613194786863,6.998864123617955e-06,0.09672899506059407,0.9259787421467786,0.8776142446164815
femnist,randk,0.05,20211,404222,0.04985944322055591,1490.695421239264,1.0,8084400.0,0.0497807881773399,20.0,20.0,9.43652892112732,11.250786423683167,11.876384735107422,0.013780243271091234,0.10406850185245275,40.6715006773445,14.068120986951595,4.9737011506534,4.9737011506534,privacy,0.6995126161805395,0.00012399843183901295,0.17714569127986005,0.7881040615852454,0.6995312159453153
femnist,randk,0.1,40422,404222,0.09972455150996157,344.0470005157293,1.0,16168800.0,0.0995615763546798,20.0,20.0,9.709842801094055,12.225439310073853,12.913689970970154,0.014519321836162283,0.10439316555857658,325.3720054187558,9.94766374842626,3.516937811222354,3.516937811222354,privacy,0.5593713279633614,0.0009989863188357212,0.2297710283808334,0.6744066901016035,0.5595211759111868
femnist,randk,0.15,60633,404222,0.14903722086252005,141.82368282544417,1.0,24253200.0,0.1493423645320197,20.0,20.0,10.063142776489258,13.083305597305298,13.6911940574646,0.01511796696300127,0.10459197964519262,1098.1305182883011,8.122233438808728,2.8715676981984926,2.8715676981984926,privacy,0.47493457424597624,0.0033739534406839297,0.2723969454248869,0.6116391399745222,0.47544066726207884
femnist,randk,0.2,80844,404222,0.2007521062030826,71.36450837463225,1.0,32337600.0,0.1991231527093596,20.0,20.0,10.538475632667542,14.027971863746643,14.696150779724121,0.015569866902200703,0.10457720048725605,2602.976043350048,7.034060493475797,2.4868505753267,2.4868505753267,privacy,0.4098511505782472,0.00799888941480939,0.30457402071862555,0.5633379943497814,0.41105098399046863
femnist,randk,0.25,101055,404222,0.2517925621719159,41.26284668192639,1.0,40422000.0,0.2489039408866995,20.0,20.0,11.01377272605896,14.348385334014893,15.12268340587616,0.016082060393108322,0.10444273427128792,5083.9375846680605,6.29145496850304,2.2243067745259855,2.2243067745259855,privacy,0.35836913709416934,0.015623783858637847,0.34104423700388153,0.5312348231749058,0.360712704672965
femnist,randk,0.35,141477,404222,0.3486601501220039,17.695770659089835,1.0,56590800.0,0.3484655172413793,20.0,20.0,11.997238278388977,15.525327205657959,15.971078276634216,0.01716459832608961,0.10404525883495808,13950.324732329158,5.31724993506321,1.8798823343120998,1.8798823343120998,privacy,0.28029419133753536,0.04287340662510676,0.4181252488747299,0.49578782676866634,0.2867252023313014
femnist,randk,0.5,202111,404222,0.5033165018226725,5.868908765009429,1.0,80844400.0,0.4978103448275862,20.0,20.0,13.34100890159607,16.45955741405487,16.77512514591217,0.0188633684699797,0.10347190499305725,40672.10438377038,4.4487194660832605,1.5728185127150431,1.5728185127150431,privacy,0.1844447965683262,0.12499912514198458,0.5390844482132886,0.47273688944626824,0.2031946653396239
femnist,randk,0.65,262744,404222,0.649497744846024,2.2441962432926896,1.0,105097600.0,0.6471527093596059,20.0,20.0,14.373570919036865,17.24809765815735,17.656296730041504,0.0206921102311892,0.10290517192333937,89356.30725082067,3.901787310895915,1.3794538770179416,1.3794538770179416,privacy,0.11263734006588913,0.27462333404688466,0.6692981442971766,0.4884799123215101,0.1538308401729218
femnist,randk,0.8,323377,404222,0.801928987032209,0.7380089945604584,1.0,129350800.0,0.7964950738916257,20.0,20.0,15.277088522911072,17.853458642959595,18.449833393096924,0.02263519971342643,0.10212738625705242,166592.0122599858,3.5170248087615343,1.243423365098899,1.243423365098899,privacy,0.05289229918000552,0.5119966621625215,0.8076538534906369,0.5335187252497022,0.12969179850438375
femnist,randk,1.0,404222,404222,1.0,0.00020006001000137812,1.0,161688800.0,0.9956206896551724,20.0,20.0,16.242470264434814,18.720534324645996,19.139988660812378,0.025336539444254617,0.1013014167547226,325376.83507016295,3.1457197020640706,1.1121506359165472,1.1121506359165472,privacy,0.0,1.0,1.0,0.65,0.15
femnist,full,1.0,404222,404222,1.0,0.00020006001000137812,1.0,161688800.0,0.9956206896551724,20.0,20.0,16.242470264434814,18.720534324645996,19.139988660812378,0.025336539444254617,0.1013014167547226,325376.83507016295,3.1457197020640706,1.1121506359165472,1.1121506359165472,privacy,0.0,0.0,0.0,0.0,0.0
